"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"26031","26031","21366","2508","86","355","2836","9139","7637","6520","775","17","45","13","1","404","84","40","15","Chambers County","48","071",
"46659","46659","34801","7689","84","462","6183","16651","12291","10395","1446","24","62","29","0","72","48","28","38","Cherokee County","48","073",
"7688","7688","5140","1105","48","162","1562","2474","1748","1543","51","8","25","48","0","5","5","0","0","Childress County","48","075",
"11006","11006","10459","51","4","189","338","4323","3589","3469","7","0","62","0","0","41","15","7","4","Clay County","48","077",
"3730","3730","2377","159","0","93","1680","1309","970","684","34","0","16","9","0","6","6","0","0","Cochran County","48","079",
"3864","3864","3502","44","1","49","655","1544","1216","1154","0","0","8","0","0","19","0","0","0","Coke County","48","081",
"9235","9235","8160","172","1","210","1240","3889","2901","2670","52","0","40","0","0","25","16","0","6","Coleman County","48","083",
"491675","491675","400481","22811","33606","11117","50262","181970","124935","109266","4051","7094","1653","795","3161","9983","5434","5749","6166","Collin County","48","085",
"3206","3206","2554","150","20","64","660","1294","1021","887","34","2","7","0","0","8","11","3","2","Collingsworth County","48","087",
"20390","20390","14783","3128","30","254","4029","7641","5858","4744","728","0","33","9","0","49","40","21","42","Colorado County","48","089",
"78021","78021","69387","664","443","1367","17633","29066","22441","20953","129","100","225","37","25","628","307","200","159","Comal County","48","091",
"14026","14026","12200","91","58","203","2954","5522","4208","3908","6","4","35","0","3","39","8","0","12","Comanche County","48","093",
"3966","3966","3493","37","8","63","1652","1058","794","709","0","0","18","0","0","1","1","0","0","Concho County","48","095",
"36363","36363","32179","1093","99","616","3570","13643","9830","9281","191","13","93","0","20","188","28","42","36","Cooke County","48","097",
"74978","74978","48803","15942","1380","3183","9391","19950","10933","9041","1129","130","197","57","31","190","24","43","31","Coryell County","48","099",
"1904","1904","1583","181","0","18","360","820","587","533","26","0","2","0","0","4","0","0","0","Cottle County","48","101",
"3996","3996","2949","82","38","125","1762","1360","1160","929","20","5","37","0","10","0","0","4","6","Crane County","48","103",
"4099","4099","3148","5","8","62","2258","1524","1089","897","6","0","0","0","0","7","8","0","0","Crockett County","48","105",
"7072","7072","4525","275","18","118","3454","2512","1742","1317","60","3","25","0","0","23","0","0","11","Crosby County","48","107",
"2975","2975","2066","12","25","59","2152","1052","741","528","0","4","18","0","0","1","3","4","3","Culberson County","48","109",
"6222","6222","5124","76","0","116","1772","2317","1459","1285","0","0","26","0","0","9","7","7","0","Dallam County","48","111",
